Sum of age,Sum of campaign,Sum of cons.conf.idx,Sum of cons.price.idx,contact,day_of_week,default,Sum of duration,education,Sum of emp.var.rate,Sum of euribor3m,housing,job,loan,marital,month,Sum of nr.employed,Sum of pdays,poutcome,Sum of previous,y
110,2,-94.2,186.15,cellular,fri,no,353,basic.4y,-3.6,2.81,no,admin.,no,married,apr,10198,1998,nonexistent,0,no
53,2,-36.1,93.444,cellular,fri,no,91,basic.4y,1.4,4.964,no,admin.,no,married,aug,5228,999,nonexistent,0,no
58,7,-42,93.2,cellular,fri,no,505,basic.4y,-0.1,4.021,no,admin.,no,married,nov,5196,999,nonexistent,0,no
55,1,-47.1,93.075,cellular,fri,no,106,basic.4y,-1.8,1.405,no,admin.,yes,married,apr,5099,999,nonexistent,0,no
71,7,-94.2,186.15,cellular,fri,no,2257,basic.4y,-3.6,2.81,no,blue-collar,no,divorced,apr,10198,1998,nonexistent,0,no
58,1,-31.4,92.201,cellular,fri,no,186,basic.4y,-2.9,0.869,no,blue-collar,no,divorced,aug,5076,999,nonexistent,0,yes
55,1,-46.2,92.893,cellular,fri,no,278,basic.4y,-1.8,1.313,no,blue-collar,no,divorced,may,5099,999,nonexistent,0,no
70,8,-92.4,185.786,cellular,fri,no,1376,basic.4y,-3.6,2.5,no,blue-collar,no,divorced,may,10198,1998,nonexistent,0,yes
41,4,-47.1,93.075,cellular,fri,no,191,basic.4y,-1.8,1.405,no,blue-collar,no,married,apr,5099,999,failure,1,no
126,6,-141.3,279.225,cellular,fri,no,428,basic.4y,-5.4,4.215,no,blue-collar,no,married,apr,15297,2997,nonexistent,0,no
445,25,-324.90000000000003,840.9959999999999,cellular,fri,no,2262,basic.4y,12.600000000000001,44.681,no,blue-collar,no,married,aug,47052,8991,nonexistent,0,no
45,2,-36.1,93.444,cellular,fri,no,507,basic.4y,1.4,4.966,no,blue-collar,no,married,aug,5228,999,nonexistent,0,yes
237,8,-213.5,469.59000000000003,cellular,fri,no,1159,basic.4y,7,24.812,no,blue-collar,no,married,jul,26140,4995,nonexistent,0,no
41,3,-42.7,93.918,cellular,fri,no,623,basic.4y,1.4,4.957,no,blue-collar,no,married,jul,5228,999,nonexistent,0,yes
94,3,-92.4,185.786,cellular,fri,no,149,basic.4y,-3.6,2.5,no,blue-collar,no,married,may,10198,1998,failure,2,no
261,26,-323.4,650.2510000000001,cellular,fri,no,1052,basic.4y,-12.600000000000001,9.001999999999999,no,blue-collar,no,married,may,35693,6993,nonexistent,0,no
53,3,-42,93.2,cellular,fri,no,122,basic.4y,-0.1,4.021,no,blue-collar,no,married,nov,5196,999,failure,1,no
55,2,-30.1,92.649,cellular,fri,no,227,basic.4y,-3.4,0.714,no,blue-collar,no,married,nov,5018,999,nonexistent,0,yes
54,2,-29.8,92.379,cellular,fri,no,49,basic.4y,-3.4,0.741,no,blue-collar,no,married,sep,5018,999,failure,1,no
35,2,-42.7,93.918,cellular,fri,no,308,basic.4y,1.4,4.957,no,blue-collar,no,single,jul,5228,999,nonexistent,0,no
35,5,-46.2,92.893,cellular,fri,no,12,basic.4y,-1.8,1.25,no,blue-collar,no,single,may,5099,999,nonexistent,0,no
33,1,-42,93.2,cellular,fri,no,60,basic.4y,-0.1,4.021,no,blue-collar,no,single,nov,5196,999,nonexistent,0,no
56,1,-47.1,93.075,cellular,fri,no,422,basic.4y,-1.8,1.405,no,blue-collar,no,unknown,apr,5099,999,nonexistent,0,no
70,6,-94.2,186.15,cellular,fri,no,288,basic.4y,-3.6,2.81,no,blue-collar,yes,married,apr,10198,1998,nonexistent,0,no
48,2,-42.7,93.918,cellular,fri,no,425,basic.4y,1.4,4.959,no,blue-collar,yes,married,jul,5228,999,nonexistent,0,no
70,1,-39.8,94.055,cellular,fri,no,252,basic.4y,-1.7,0.732,no,blue-collar,yes,married,jun,4992,3,success,1,yes
91,3,-92.4,185.786,cellular,fri,no,408,basic.4y,-3.6,2.5629999999999997,no,blue-collar,yes,married,may,10198,1998,nonexistent,0,no
