Index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
20001,35,technician,divorced,professional.course,no,no,no,cellular,aug,fri,424,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20002,38,entrepreneur,married,university.degree,no,unknown,unknown,cellular,aug,fri,188,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20003,46,blue-collar,married,basic.4y,no,no,no,cellular,aug,fri,492,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20004,33,technician,divorced,high.school,no,no,no,cellular,aug,fri,174,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20005,44,admin.,married,high.school,unknown,yes,no,cellular,aug,fri,453,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20006,42,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,59,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20007,34,admin.,divorced,high.school,no,yes,no,cellular,aug,fri,263,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20008,33,admin.,divorced,high.school,no,yes,no,cellular,aug,fri,57,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20009,35,admin.,married,university.degree,no,yes,no,cellular,aug,fri,329,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20010,32,technician,single,university.degree,no,yes,no,cellular,aug,fri,166,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20011,58,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,72,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20012,45,management,married,university.degree,no,yes,no,cellular,aug,fri,334,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20013,39,technician,divorced,professional.course,no,yes,no,cellular,aug,fri,108,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20014,53,admin.,divorced,high.school,no,no,yes,cellular,aug,fri,1567,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
20015,30,blue-collar,married,high.school,no,yes,no,cellular,aug,fri,765,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
